trade_date,open,high,low,close,volume
2019-01-02,4.6806,4.7438,4.6083,4.6535,63229.64
2019-01-03,4.6535,4.7077,4.6173,4.6535,53549.58
2019-01-04,4.5992,4.7709,4.5721,4.7529,84868.77
2019-01-07,4.8342,4.8613,4.7709,4.8251,122466.32
2019-01-08,4.8432,4.8523,4.798,4.8071,76982.99
2019-01-09,4.8613,4.9065,4.8251,4.8432,122083.67
2019-01-10,4.8432,4.8703,4.78,4.78,72266.0
2019-01-11,4.8071,4.8703,4.789,4.8613,72307.16
2019-01-14,4.8523,4.8523,4.7709,4.78,63213.46
2019-01-15,4.7709,4.8523,4.7258,4.8523,82037.03
2019-01-16,4.8523,4.8884,4.798,4.8703,98535.32
2019-01-17,4.8613,4.8613,4.7438,4.7529,94829.81
2019-01-18,4.7619,4.9155,4.7348,4.8523,102470.86
2019-01-21,4.8613,4.9065,4.8161,4.8342,119751.43
2019-01-22,4.8432,4.8613,4.7438,4.7709,65078.89
2019-01-23,4.7438,4.8071,4.7258,4.7438,48932.15
2019-01-24,4.7438,4.8161,4.6986,4.7619,75420.62
2019-01-25,4.78,4.8251,4.7438,4.7619,77820.46
2019-01-28,4.78,4.8071,4.6986,4.7077,81225.47
2019-01-29,4.7077,4.7348,4.6083,4.6625,70760.75
2019-01-30,4.6264,4.7529,4.6264,4.6896,67380.0
2019-01-31,4.6806,4.7348,4.6173,4.6444,72829.58
2019-02-01,4.6806,4.78,4.6715,4.7709,77252.54
2019-02-11,4.7619,4.8794,4.7438,4.8794,114998.93
2019-02-12,4.8794,5.0149,4.8432,4.9878,151002.95
2019-02-13,4.9788,5.0781,4.9336,5.042,187579.62
2019-02-14,5.051,5.1595,5.0149,5.0962,168671.56
2019-02-15,5.0962,5.1143,4.9968,5.033,139589.44
2019-02-18,5.1053,5.2408,5.0872,5.2318,208498.55
2019-02-19,5.4667,5.5299,5.1956,5.2769,498911.89
2019-02-20,5.2769,5.2769,5.1143,5.1595,229301.81
2019-02-21,5.1504,5.1866,5.0781,5.1053,172806.64
2019-02-22,5.1053,5.1775,5.0781,5.1685,150320.88
2019-02-25,5.2227,5.4125,5.1956,5.3944,378556.31
2019-02-26,5.4034,5.4667,5.295,5.3492,342806.76
2019-02-27,5.3312,5.4848,5.3312,5.3854,281649.03
2019-02-28,5.3944,5.6384,5.3944,5.5119,374599.5
2019-03-01,5.5209,5.5751,5.3673,5.5299,237524.01
2019-03-04,5.5299,5.7378,5.4938,5.6293,406670.57
2019-03-05,5.6022,5.7739,5.557,5.7287,303846.45
2019-03-06,5.7016,5.7378,5.6203,5.7378,345469.56
2019-03-07,5.7107,5.801,5.6745,5.7558,288115.59
2019-03-08,5.6926,5.6926,5.3402,5.3673,403225.73
2019-03-11,5.3673,5.4938,5.3312,5.4848,217908.15
2019-03-12,5.5209,5.6474,5.4848,5.5842,254798.29
2019-03-13,5.5661,5.7107,5.4938,5.6203,331774.4
2019-03-14,5.6113,5.6745,5.3402,5.4215,262106.4
2019-03-15,5.4667,5.8643,5.4034,5.7649,589677.53
2019-03-18,5.7016,6.307,5.6293,6.0631,595740.72
2019-03-19,5.9637,6.0359,5.8281,5.8733,408979.7
2019-03-20,5.8191,5.9094,5.6926,5.8733,334633.72
2019-03-21,5.9185,6.0269,5.8733,5.9366,419435.57
2019-03-22,5.9185,6.1715,5.8101,6.1263,433172.03
2019-03-25,5.9637,6.4155,5.9275,6.1805,556422.13
2019-03-26,6.0811,6.1625,5.8191,5.8823,335610.69
2019-03-27,5.8823,5.9456,5.7829,5.9094,186328.81
2019-03-28,5.9004,6.1082,5.8101,5.9185,230862.77
2019-03-29,5.9546,6.1534,5.8914,6.0992,342032.85
2019-04-01,6.1896,6.3522,6.1173,6.3251,434472.65
2019-04-02,6.3341,6.5691,6.3161,6.3161,412847.92
2019-04-03,6.289,6.5329,6.2347,6.4697,353487.98
2019-04-04,6.4968,6.5239,6.3522,6.4426,285909.24
2019-04-08,6.551,6.5691,6.2618,6.4064,292590.09
2019-04-09,6.3974,6.4787,6.3251,6.4155,203004.57
2019-04-10,6.3793,6.4155,6.2709,6.3251,175585.16
2019-04-11,6.3251,6.3793,6.1896,6.2076,170833.67
2019-04-12,6.2167,6.2709,6.1534,6.2528,122194.68
2019-04-15,6.3522,6.3703,6.1082,6.1263,216588.0
2019-04-16,6.0992,6.1986,5.9546,6.1805,222559.6
2019-04-17,6.1534,6.1896,6.0992,6.1263,131078.67
2019-04-18,6.1173,6.1534,6.045,6.0631,122873.48
2019-04-19,6.0631,6.0992,5.9546,6.054,101516.1
2019-04-22,6.0811,6.0992,5.8823,5.8914,135008.85
2019-04-23,5.9004,5.9366,5.8101,5.8281,91525.5
2019-04-24,5.8281,5.8823,5.7287,5.8643,102189.74
2019-04-25,5.8462,5.8552,5.557,5.5842,129151.01
2019-04-26,5.6022,5.6293,5.539,5.539,92958.05
2019-04-29,5.548,5.6022,5.4125,5.5028,106763.76
2019-04-30,5.4848,5.6474,5.4848,5.5119,77196.4
2019-05-06,5.3673,5.3673,4.9607,5.033,192234.46
2019-05-07,5.0691,5.1595,5.0149,5.1504,105815.98
2019-05-08,5.0781,5.1956,4.9788,5.0962,75068.02
2019-05-09,5.033,5.1414,5.0239,5.033,71122.33
2019-05-10,5.051,5.2047,4.9968,5.1775,111488.55
2019-05-13,5.1053,5.2047,5.0872,5.1324,72265.99
2019-05-14,5.0691,5.1504,5.0149,5.0781,69680.87
2019-05-15,5.0872,5.1775,5.0872,5.1775,113074.91
2019-05-16,5.1504,5.2047,5.1233,5.2047,100129.0
2019-05-17,5.1956,5.2047,5.0149,5.042,86379.0
2019-05-20,5.0601,5.0781,4.9426,5.0059,50047.21
2019-05-21,4.9968,5.0872,4.9968,5.0781,59378.45
2019-05-22,5.0781,5.0781,4.9968,5.0149,51200.51
2019-05-23,5.033,5.042,4.8613,4.8794,75958.83
2019-05-24,4.8974,5.0059,4.8794,4.9788,74923.66
2019-05-27,4.9426,5.2047,4.9245,5.2047,162217.01
2019-05-28,5.1595,5.2047,5.0781,5.1053,125885.4
2019-05-29,5.0601,5.1053,5.0239,5.0691,82053.63
2019-05-30,5.042,5.042,4.9065,4.9607,76334.56
2019-05-31,5.0059,5.0059,4.9336,4.9607,47917.99
2019-06-03,4.9607,4.9968,4.9155,4.9607,53424.31
2019-06-04,4.9607,4.9607,4.8974,4.9245,48239.1
2019-06-05,4.9697,4.9968,4.9245,4.9516,49519.02
2019-06-06,4.9607,4.9968,4.8794,4.9065,57332.54
2019-06-10,4.9065,5.0059,4.8974,4.9878,57735.38
2019-06-11,5.0149,5.1143,4.9788,5.1053,78817.56
2019-06-12,5.0691,5.2227,5.042,5.0781,71703.55
2019-06-13,5.051,5.0962,5.033,5.0781,45818.09
2019-06-14,5.0601,5.1053,5.0149,5.042,40704.34
2019-06-17,5.033,5.1233,5.0149,5.0872,44623.0
2019-06-18,5.0781,5.1143,5.0149,5.0691,54321.37
2019-06-19,5.172,5.172,5.0972,5.1066,70341.92
2019-06-20,5.1159,5.2375,5.0785,5.1814,89475.35
2019-06-21,5.2188,5.2843,5.1907,5.2281,81228.22
2019-06-24,5.2188,5.2562,5.1907,5.2188,54101.46
2019-06-25,5.2375,5.2375,5.0972,5.172,54290.53
2019-06-26,5.1814,5.1907,5.1159,5.144,38498.2
2019-06-27,5.1627,5.2094,5.144,5.1627,39777.73
2019-06-28,5.1627,5.1627,5.0691,5.0972,42364.9
2019-07-01,5.1814,5.2281,5.1346,5.2094,87916.9
2019-07-02,5.2094,5.2188,5.1627,5.1907,56994.54
2019-07-03,5.2001,5.2375,5.1627,5.1907,64887.95
2019-07-04,5.1907,5.3217,5.1907,5.2655,113280.47
2019-07-05,5.2749,5.2749,5.2094,5.2468,54041.66
2019-07-08,5.2375,5.2375,5.0317,5.0972,80511.08
2019-07-09,5.0504,5.1159,5.0411,5.0785,40520.14
2019-07-10,5.0785,5.0972,5.0317,5.0317,44437.18
2019-07-11,5.0504,5.0878,5.013,5.0504,26794.0
2019-07-12,5.0411,5.0785,5.0317,5.0598,29215.98
2019-07-15,5.0411,5.0878,4.9289,5.0598,55593.06
2019-07-16,5.0598,5.1066,5.0598,5.0972,34211.99
2019-07-17,5.1066,5.1159,5.0598,5.0972,29546.21
2019-07-18,5.0785,5.0785,4.9943,5.0037,35420.65
2019-07-19,5.0504,5.2468,5.0037,5.1346,137551.25
2019-07-22,5.0972,5.0972,4.9476,4.9569,89248.27
2019-07-23,4.9382,5.0504,4.9289,4.9943,44147.67
2019-07-24,4.9569,5.172,4.9569,5.1346,115456.23
2019-07-25,5.1346,5.1346,5.0317,5.0878,111341.68
2019-07-26,5.0411,5.0504,4.9569,5.013,58684.49
2019-07-29,5.0037,5.0224,4.9663,4.985,30489.03
2019-07-30,4.985,5.0411,4.9569,4.9756,41148.85
2019-07-31,4.9663,4.9756,4.9289,4.9476,43299.97
2019-08-01,4.9289,4.9569,4.9008,4.9101,37212.86
2019-08-02,4.8353,4.8447,4.7137,4.7979,64458.46
2019-08-05,4.7418,4.854,4.7044,4.7792,42191.0
2019-08-06,4.6483,4.7605,4.5267,4.6015,68678.45
2019-08-07,4.6483,4.6483,4.5922,4.6296,35318.37
2019-08-08,4.6296,4.6576,4.6109,4.6389,28978.5
2019-08-09,4.6389,4.6576,4.5828,4.6296,21934.14
2019-08-12,4.5641,4.6576,4.5641,4.6576,24508.88
2019-08-13,4.6296,4.6857,4.6015,4.6296,24240.57
2019-08-14,4.6763,4.695,4.6015,4.6202,48145.47
2019-08-15,4.536,4.5735,4.5173,4.5547,63873.03
2019-08-16,4.536,4.6857,4.5267,4.6015,65072.63
2019-08-19,5.0598,5.0598,5.0598,5.0598,61610.88
2019-08-20,5.5087,5.5087,5.1253,5.1814,648221.21
2019-08-21,5.0878,5.2188,4.9382,5.1346,362961.04
2019-08-22,5.1627,5.303,5.144,5.1907,342059.67
2019-08-23,5.1814,5.1814,5.0598,5.0785,176676.12
2019-08-26,4.9101,5.0504,4.8914,5.0411,140087.02
2019-08-27,5.0504,5.0878,4.9943,5.0224,145300.16
2019-08-28,4.9943,5.0224,4.9569,5.013,102371.66
