trade_date,open,high,low,close,volume
2019-01-02,18.2802,18.6307,18.1771,18.3077,19785.05
2019-01-03,18.2252,18.7063,18.2252,18.5551,32156.31
2019-01-04,18.2802,18.8094,18.2459,18.7544,36856.24
2019-01-07,18.9743,19.3523,18.6926,18.8231,41706.45
2019-01-08,18.8231,19.2423,18.7063,19.0843,43327.45
2019-01-09,19.0362,19.3798,18.8987,18.94,46062.45
2019-01-10,18.8575,18.9125,18.562,18.6513,28837.11
2019-01-11,18.6513,19.0843,18.6032,18.8369,27277.2
2019-01-14,18.7613,18.8919,18.4726,18.4795,25633.37
2019-01-15,18.3489,18.6788,18.3489,18.6513,17928.0
2019-01-16,18.6238,19.0018,18.6032,18.8506,31707.01
2019-01-17,18.7613,18.885,18.4726,18.5482,23432.54
2019-01-18,18.5482,18.6926,18.3833,18.6101,16440.15
2019-01-21,18.6307,18.8369,18.617,18.6582,17555.53
2019-01-22,18.72,18.72,18.294,18.3833,20336.62
2019-01-23,18.3833,18.5482,18.3489,18.3833,11409.89
2019-01-24,18.3146,18.6926,18.3008,18.4383,17910.51
2019-01-25,18.4108,18.6101,18.3215,18.3489,16699.53
2019-01-28,18.4589,18.5345,18.0053,18.129,16259.0
2019-01-29,18.129,18.129,16.837,17.3181,25321.0
2019-01-30,17.3387,17.4418,16.9126,16.9333,17682.45
2019-01-31,16.9333,17.2425,16.4934,16.7271,20153.0
2019-02-01,16.8439,17.2837,16.7271,17.2219,13056.9
2019-02-11,17.5243,17.6342,17.3525,17.5861,14571.0
2019-02-12,17.6617,18.0259,17.5174,17.7854,23002.22
2019-02-13,17.7373,18.0053,17.6617,17.971,26992.4
2019-02-14,17.9641,18.1359,17.8679,17.9985,23121.44
2019-02-15,18.0672,18.2665,17.9366,17.9778,25828.03
2019-02-18,18.0053,18.4039,18.0053,18.3627,45776.55
2019-02-19,19.1874,20.1976,18.8644,20.1976,154928.36
2019-02-20,20.8023,20.8092,19.1255,19.4485,128159.71
2019-02-21,19.0637,19.6203,18.9674,19.1255,74416.47
2019-02-22,18.8506,19.2767,18.6582,19.2423,56701.29
2019-02-25,19.2767,19.9914,19.2767,19.9021,97420.48
2019-02-26,19.7303,19.9089,19.3729,19.4554,82616.46
2019-02-27,19.6409,20.4793,19.4829,19.9777,93476.58
2019-02-28,19.9777,20.2594,19.5928,19.7784,53417.32
2019-03-01,19.7715,19.9021,19.2561,19.5241,49864.84
2019-03-04,19.531,20.0533,19.5241,19.7578,68906.34
2019-03-05,19.7096,21.737,19.5585,21.737,95946.2
2019-03-06,22.4517,23.9086,22.4517,23.9086,193332.52
2019-03-07,24.9051,26.3001,23.8742,26.3001,187382.01
2019-03-08,25.0838,26.1833,23.6681,23.6681,165364.53
2019-03-11,23.6406,24.2591,22.5891,23.8605,107971.52
2019-03-12,23.8811,24.6646,23.3726,23.8674,114657.99
2019-03-13,23.4963,23.7024,22.3349,22.651,87918.28
2019-03-14,22.6785,23.0496,21.7507,22.0187,61690.41
2019-03-15,22.2661,23.6062,22.1012,22.5273,76263.84
2019-03-18,22.2661,23.1252,22.2524,22.9259,60684.55
2019-03-19,22.6853,23.2008,22.6029,22.7403,49312.75
2019-03-20,22.8846,23.0839,22.1012,22.7953,48708.43
2019-03-21,22.8365,23.455,22.5616,23.0771,86056.79
2019-03-22,22.8022,23.2489,22.4586,22.7197,51953.15
2019-03-25,22.1837,24.0529,22.0187,23.1252,80468.94
2019-03-26,22.9946,23.2626,22.2043,22.4104,48857.05
2019-03-27,22.6097,22.6097,21.7232,21.9912,37151.26
2019-03-28,22.0187,22.3211,21.7438,21.8194,29868.82
2019-03-29,21.6408,22.596,21.627,22.3623,45576.07
2019-04-01,22.3349,23.2832,22.3349,22.9396,55213.03
2019-04-02,23.5719,24.0186,23.0221,23.132,71547.65
2019-04-03,23.0908,23.7024,22.7472,23.3176,55335.74
2019-04-04,23.3382,23.6543,23.1458,23.297,50482.25
2019-04-08,23.3107,23.5719,22.8159,22.8984,48152.81
2019-04-09,22.8022,23.5169,22.4654,23.455,55413.63
2019-04-10,23.4069,23.4275,22.9327,23.1045,42581.47
2019-04-11,23.0977,25.2693,23.0977,24.2247,128345.9
2019-04-12,23.9155,24.2728,23.2626,23.3451,63250.5
2019-04-15,23.7505,25.1181,23.3657,24.1148,87823.17
2019-04-16,23.5719,25.4136,23.5719,24.4927,111594.97
2019-04-17,24.5683,25.3312,24.1629,24.6164,85351.08
2019-04-18,24.5477,24.7264,23.8536,23.8811,59159.51
2019-04-19,23.8949,24.0804,23.2282,23.4825,44118.94
2019-04-22,23.6887,23.9842,23.2764,23.4825,44614.31
2019-04-23,23.3863,24.4653,23.2695,23.7574,63007.84
2019-04-24,23.7024,23.7024,22.3349,23.0015,60396.55
2019-04-25,22.6785,22.9877,22.1081,22.1287,37758.71
2019-04-26,22.1287,22.3898,21.7164,22.0119,24229.34
2019-04-29,22.0393,22.218,19.9983,20.7474,41838.12
2019-04-30,20.8436,21.0841,20.4862,20.658,27561.51
2019-05-06,19.9296,19.9296,18.5895,18.5895,58360.19
2019-05-07,18.6926,19.1805,18.4864,18.9262,38324.0
2019-05-08,18.5139,19.2973,18.2665,19.0568,32164.5
2019-05-09,19.1049,20.9604,19.0637,20.9604,41402.75
2019-05-10,22.1356,22.541,19.9845,21.2353,89075.6
2019-05-13,20.6511,20.9604,20.3144,20.6168,42667.89
2019-05-14,20.177,20.5962,20.177,20.3419,28692.44
2019-05-15,20.7117,20.9111,20.4327,20.5921,53109.51
2019-05-16,20.7715,22.6553,20.4526,22.6553,59792.65
2019-05-17,22.7052,23.8414,21.3197,21.848,149523.97
2019-05-20,21.4792,21.8978,20.5323,21.2001,65399.7
2019-05-21,20.931,22.2268,20.931,21.6188,63320.62
2019-05-22,21.25,22.147,20.951,21.4094,58642.44
2019-05-23,21.0506,21.3297,20.4725,20.642,55479.24
2019-05-24,20.4426,20.8712,20.2732,20.4327,35341.65
2019-05-27,20.8014,21.3297,20.4526,21.1503,60352.49
2019-05-28,21.5988,21.7384,20.8014,20.9908,52698.44
