trade_date,open,high,low,close,volume
2019-01-02,7.013,7.1834,6.9075,7.0455,166559.03
2019-01-03,7.0455,7.5,7.0049,7.224,362598.82
2019-01-04,7.1023,7.9464,7.0536,7.9464,844668.42
2019-01-07,7.9545,8.2224,7.8003,7.9383,785953.42
2019-01-08,7.8653,8.2143,7.7922,7.9627,518129.47
2019-01-09,7.9302,8.2062,7.8328,8.0195,533290.28
2019-01-10,7.9545,7.987,7.6867,7.7273,355358.32
2019-01-11,7.7922,7.8409,7.6461,7.776,250869.57
2019-01-14,7.8571,7.914,7.7354,7.776,228840.73
2019-01-15,7.7354,8.3604,7.7192,8.0844,671723.06
2019-01-16,8.0195,8.0195,7.8166,7.8409,354215.59
2019-01-17,7.8166,7.8734,7.6542,7.6867,257623.11
2019-01-18,7.711,7.8166,7.6299,7.7354,201994.02
2019-01-21,7.7516,7.8328,7.6705,7.7029,156492.83
2019-01-22,7.6705,7.7679,7.5649,7.6948,163341.42
2019-01-23,7.6299,7.7192,7.5568,7.5974,124145.08
2019-01-24,7.6299,8.0114,7.6136,7.7679,463864.54
2019-01-25,7.7029,7.7354,7.5568,7.5731,254795.24
2019-01-28,7.6786,7.7679,7.3864,7.4432,261026.62
2019-01-29,7.3864,7.4107,7.0292,7.2565,182338.49
2019-01-30,7.1834,7.3295,7.1672,7.1753,94347.0
2019-01-31,7.224,7.2808,6.9643,7.0455,150460.6
2019-02-01,7.1672,7.2808,7.1591,7.2727,136724.76
2019-02-11,7.3052,7.4026,7.2565,7.4026,147920.22
2019-02-12,7.4107,7.4919,7.3295,7.4269,169836.6
2019-02-13,7.4107,7.9058,7.3701,7.7354,456442.28
2019-02-14,7.6623,7.7435,7.5812,7.638,272323.28
2019-02-15,7.6136,7.7597,7.5568,7.6055,212091.13
2019-02-18,7.6542,8.0519,7.6542,7.9221,481506.67
2019-02-19,7.9221,8.1981,7.8328,8.0357,549925.37
2019-02-20,7.9545,8.0844,7.8571,7.9789,294182.94
2019-02-21,7.8734,8.2711,7.8328,7.9302,540280.81
2019-02-22,7.9464,8.7256,7.8734,8.7256,861725.99
2019-02-25,9.6023,9.6023,9.1802,9.6023,696952.1
2019-02-26,10.5601,10.5601,10.4383,10.4383,780887.4
2019-02-27,10.3084,11.4854,10.211,11.4854,1328942.98
2019-02-28,11.0227,11.0552,10.3409,10.3896,728402.44
2019-03-01,10.4708,11.2013,10.0649,10.7549,902996.11
2019-03-04,10.7955,11.8344,10.3977,11.0633,1224456.89
2019-03-05,10.7143,11.3231,10.5925,11.1039,689413.8
2019-03-06,11.0877,12.2159,10.9497,12.2159,1088137.64
2019-03-07,12.4026,13.4416,11.9968,13.0276,1173323.62
2019-03-08,11.7289,12.5649,11.7289,11.7289,821671.63
2019-03-11,11.526,11.8831,10.6981,11.5097,544887.31
2019-03-12,11.5422,12.0617,11.5341,11.6883,586590.16
2019-03-13,11.5666,11.7695,10.9984,11.25,507627.18
2019-03-14,10.9091,11.4042,10.6331,10.8442,354597.01
2019-03-15,10.9984,11.3555,10.8766,11.1201,378231.0
2019-03-18,11.0714,11.3312,10.6331,11.3068,366664.7
2019-03-19,11.25,11.6883,11.1607,11.3961,399132.09
2019-03-20,11.3068,11.8506,11.2013,11.8263,561013.76
2019-03-21,11.8263,12.4188,11.5666,11.8669,658228.28
2019-03-22,11.7289,11.8182,11.2906,11.4935,400594.33
2019-03-25,11.0714,11.3312,10.8766,10.8847,331628.61
2019-03-26,10.9253,11.039,10.5357,10.6169,259461.75
2019-03-27,10.763,11.3555,10.7143,11.0714,460185.01
2019-03-28,10.8036,11.1607,10.5925,10.8766,304440.09
2019-03-29,10.9578,11.9643,10.8766,11.9643,780781.8
2019-04-01,12.2565,12.638,11.6802,12.1591,885114.41
2019-04-02,12.013,12.3782,11.8669,11.9643,562464.47
2019-04-03,11.7532,12.5649,11.6964,12.4026,685316.34
2019-04-04,12.3377,12.3782,11.9805,12.0698,495691.73
2019-04-08,12.1753,12.2159,11.5584,11.7695,347863.75
2019-04-09,11.8669,12.1347,11.7289,11.9805,315527.36
2019-04-10,11.8506,11.9968,11.4529,11.7614,329218.26
2019-04-11,11.664,11.7857,11.3718,11.4367,238069.59
2019-04-12,11.4529,11.6558,11.3718,11.4935,208699.22
2019-04-15,11.7614,11.8425,11.2013,11.25,212910.76
2019-04-16,11.1201,11.5179,10.9578,11.5179,245453.25
2019-04-17,11.526,11.526,11.3393,11.3799,193856.09
2019-04-18,11.4448,11.4854,11.1282,11.1688,183146.56
2019-04-19,11.1769,11.3799,11.1526,11.2419,151035.7
2019-04-22,11.3799,11.4448,11.1201,11.1364,174395.61
2019-04-23,11.1526,11.8506,10.974,11.461,455651.32
2019-04-24,11.3636,11.5341,11.2987,11.4854,235805.72
2019-04-25,11.4286,11.8019,11.2094,11.2094,415666.2
2019-04-26,10.9253,11.3393,10.7549,10.8279,316778.77
2019-04-29,10.836,10.8847,9.7484,9.7808,374996.24
2019-04-30,9.724,10.0568,9.6591,9.8945,183665.37
2019-05-06,9.3263,9.5373,8.9042,8.9042,267373.64
2019-05-07,9.164,9.3506,8.6526,9.2776,294703.58
2019-05-08,9.0016,9.3344,8.8555,9.1234,199609.0
2019-05-09,9.0584,9.4562,8.9529,9.2208,231247.28
2019-05-10,9.4156,9.8052,9.0828,9.6429,304921.83
2019-05-13,9.4968,9.6023,9.3588,9.3831,137951.18
2019-05-14,9.164,9.5617,9.164,9.3588,144458.18
2019-05-15,9.4968,9.5617,9.3669,9.4886,171193.31
2019-05-16,9.4886,9.4968,9.3425,9.4156,121758.0
2019-05-17,9.4562,9.4886,8.8961,9.0179,175407.8
2019-05-20,8.5633,9.2045,8.5633,9.026,168974.43
2019-05-21,8.9286,9.1964,8.888,9.0503,159214.28
2019-05-22,9.0666,9.1071,8.7662,8.8799,127922.17
2019-05-23,8.8718,9.164,8.75,8.8799,141144.5
2019-05-24,8.7906,9.0016,8.7662,8.9286,110263.0
2019-05-27,8.9448,9.4481,8.8068,9.3669,296181.82
2019-05-28,9.2451,9.4481,9.2127,9.2614,181576.8
2019-05-29,9.2532,9.8782,9.1721,9.5211,302440.97
2019-05-30,9.4156,9.513,9.2938,9.513,191949.18
2019-05-31,9.513,9.651,9.4156,9.4399,185651.74
2019-06-03,9.4643,9.862,9.3994,9.4968,253213.91
2019-06-04,9.375,9.4968,9.1396,9.2938,198360.48
2019-06-05,9.4562,9.5536,9.1802,9.2614,207505.64
2019-06-06,9.0341,9.237,8.8393,8.888,224166.6
2019-06-10,8.7662,8.7662,8.125,8.3604,302041.43
2019-06-11,8.2062,8.9042,8.2062,8.8149,360633.8
2019-06-12,8.6445,8.9205,8.6039,8.6607,262197.54
2019-06-13,7.8734,8.401,7.8734,8.0925,1342488.82
2019-06-14,8.0195,8.0925,7.5325,7.6136,809906.23
2019-06-17,7.6136,7.6542,7.4026,7.4432,450591.89
2019-06-18,7.4756,7.5162,7.3214,7.4026,373209.71
2019-06-19,7.7922,7.914,7.4756,7.4919,745231.02
2019-06-20,7.4351,8.1169,7.3945,8.0114,1388722.28
2019-06-21,7.9789,8.4253,7.8815,8.1981,1117391.85
2019-06-24,8.336,8.3604,8.0357,8.1006,664275.77
2019-06-25,8.0601,8.539,7.987,8.4497,929181.53
2019-06-26,8.1088,8.2224,8.0357,8.0438,622953.76
2019-06-27,8.0682,8.401,8.0601,8.1169,650401.78
2019-06-28,8.0438,8.1331,7.9302,8.0438,446603.77
2019-07-01,8.2955,8.401,8.1818,8.3036,717916.79
2019-07-02,8.2549,8.5714,8.2224,8.4416,730627.92
2019-07-03,8.3847,8.5308,8.2386,8.3442,558940.1
2019-07-04,8.336,8.474,8.263,8.401,423374.24
2019-07-05,8.3685,8.4334,8.2711,8.3442,302164.32
2019-07-08,8.2792,8.3523,7.9708,8.0601,464908.0
2019-07-09,8.0357,8.1737,7.8896,8.1088,384414.01
2019-07-10,8.1169,8.3929,8.0519,8.2549,536111.1
2019-07-11,8.2955,8.3766,8.0925,8.2143,443031.99
2019-07-12,8.1899,8.263,8.0763,8.1981,304738.0
2019-07-15,8.1737,8.4984,8.0925,8.3685,579271.01
2019-07-16,8.3279,8.3766,8.2792,8.3117,283382.23
2019-07-17,8.3036,8.4091,8.263,8.3036,348978.84
2019-07-18,8.1899,8.2386,8.0763,8.0844,355595.0
2019-07-19,8.1006,8.2792,8.1006,8.1981,326722.84
2019-07-22,8.2224,8.2386,7.8734,7.8977,334435.0
2019-07-23,7.9383,7.987,7.9058,7.9545,156429.0
2019-07-24,7.9708,8.1088,7.9708,8.0195,233871.0
2019-07-25,8.0276,8.0357,7.9383,8.0114,170606.0
2019-07-26,7.9951,8.1006,7.9545,8.0844,190247.52
2019-07-29,8.1006,8.1088,7.9708,8.0276,172207.0
2019-07-30,8.0374,8.303,8.0374,8.1456,278328.81
2019-07-31,8.0767,8.1161,8.0275,8.0472,193465.24
2019-08-01,7.9685,8.0472,7.8898,7.9292,216380.56
2019-08-02,7.6832,7.7324,7.5258,7.6734,379870.53
2019-08-05,7.6045,7.7521,7.4963,7.516,272035.25
2019-08-06,7.3094,7.7226,7.1421,7.5356,547548.65
2019-08-07,7.6045,7.6537,7.3586,7.4078,292224.41
2019-08-08,7.634,7.6832,7.4569,7.4668,312535.99
2019-08-09,7.516,7.5258,7.1618,7.2208,309731.2
2019-08-12,7.3094,7.3586,7.2405,7.3586,274827.19
2019-08-13,7.2504,7.2995,7.1815,7.211,236799.2
2019-08-14,7.3291,7.3684,7.1913,7.2012,230565.02
2019-08-15,6.9552,7.1717,6.9356,7.1323,268110.23
2019-08-16,7.0831,7.2405,7.0536,7.1028,307616.57
2019-08-19,7.1717,7.6242,7.1323,7.5553,713504.73
2019-08-20,7.5258,7.6242,7.4078,7.4471,487951.84
2019-08-21,7.4176,7.4668,7.3782,7.3979,269653.6
2019-08-22,7.4274,7.4373,7.3094,7.3782,243454.99
2019-08-23,7.4668,7.7521,7.4569,7.5848,897917.08
2019-08-26,7.3586,7.6931,7.3291,7.5848,536765.76
