trade_date,open,high,low,close,volume
2020-01-02,68.0774,69.4421,67.97,68.2353,40725.22
2020-01-03,68.5512,68.6144,65.7081,66.5989,58963.77
2020-01-06,66.163,66.3273,65.2721,65.468,50322.18
2020-01-07,65.6007,66.9717,65.6007,66.9717,40213.7
2020-01-08,66.9717,67.4329,66.3525,67.0791,25883.1
2020-01-09,67.256,68.2353,67.256,68.1027,35130.86
2020-01-10,68.4249,68.6523,67.6035,68.2101,21766.19
2020-01-13,68.7155,68.8292,67.8562,68.4249,26702.57
2020-01-14,68.7913,69.183,66.8454,66.9085,39365.89
2020-01-15,66.9085,68.1658,66.6558,67.8373,31287.76
2020-01-16,68.2353,68.5576,67.0791,68.5449,32623.37
2020-01-17,68.5386,69.461,67.7741,69.4105,38986.25
2020-01-20,69.5495,71.0469,68.7155,70.7942,42974.92
2020-01-21,70.3203,71.2048,68.8671,70.731,42660.84
2020-01-22,70.5098,70.5098,68.8798,69.3347,39103.6
2020-01-23,69.4674,69.4674,66.9844,67.7362,46158.31
2020-02-03,60.9632,64.4698,60.9632,64.3371,84424.04
2020-02-04,64.7604,65.7334,63.6863,64.8741,59751.65
2020-02-05,64.8741,65.8345,63.6231,65.7081,47074.85
2020-02-06,65.8155,67.1613,64.7604,66.4979,48135.25
2020-02-07,66.0745,67.6541,65.3796,67.2876,36723.57
2020-02-10,66.719,67.3318,66.4031,66.8454,28737.97
2020-02-11,66.3399,67.6225,66.3399,67.6035,35313.92
2020-02-12,67.1613,68.4186,67.1613,67.6541,29767.54
2020-02-13,67.6035,67.8373,66.024,66.1504,33183.2
2020-02-14,66.2704,66.9275,65.7586,66.1504,22814.55
2020-02-17,66.4347,67.0918,66.024,66.5737,26878.0
2020-02-18,66.2767,66.5231,64.9942,65.3164,49676.82
2020-02-19,65.0763,65.9924,65.0131,65.607,31246.5
2020-02-20,65.7081,67.2118,65.329,66.8959,47228.15
2020-02-21,66.4726,66.8959,65.885,66.2578,31952.17
2020-02-24,65.7271,66.2578,65.209,65.6702,48366.56
2020-02-25,64.9942,66.024,63.8822,64.5519,44644.52
2020-02-26,64.0022,64.6846,63.3009,63.7116,43036.63
2020-02-27,63.8127,65.1837,63.8,64.7288,43962.22
2020-02-28,62.2584,64.7225,62.2584,62.9155,43809.13
2020-03-02,63.0608,65.0447,63.0608,64.4129,45983.49
2020-03-03,65.0763,66.4473,64.5708,65.5501,42389.43
2020-03-04,65.5438,66.422,64.3497,65.7713,34295.09
2020-03-05,66.3399,68.3491,65.5059,67.2308,70267.65
2020-03-06,66.4915,67.1613,66.3399,66.7759,25678.64
2020-03-09,65.4933,66.0366,64.3813,64.3813,49081.18
2020-03-10,63.9264,66.3399,63.9264,65.9103,46066.94
2020-03-11,66.2451,67.8183,65.9103,66.7064,50849.68
2020-03-12,66.024,66.302,64.514,64.8615,36883.71
2020-03-13,62.9408,64.2233,61.5192,63.8,55563.0
2020-03-16,61.9867,63.7937,61.4118,61.9172,57726.22
2020-03-17,61.9172,62.4859,58.4928,61.2854,80724.36
2020-03-18,61.2728,62.7702,60.6536,61.2854,62069.81
2020-03-19,60.3377,61.9109,58.2401,59.0109,75266.02
2020-03-20,58.4233,64.0528,58.4233,63.2061,86769.57
2020-03-23,61.5382,65.9482,61.4244,64.6846,73089.6
2020-03-24,64.6846,66.6874,64.5898,65.7207,52584.64
2020-03-25,66.5484,67.9826,65.5059,65.7776,35755.4
2020-03-26,66.9717,71.7103,66.8959,70.7626,97528.98
2020-03-27,71.2364,73.7889,70.9079,72.7401,56420.56
2020-03-30,72.0262,73.909,71.4639,71.8935,61608.85
2020-03-31,73.2898,79.0835,72.658,79.0835,94435.99
2020-04-01,79.4436,79.4436,74.8061,76.9543,95124.64
2020-04-02,75.1852,78.7044,75.1852,78.5844,75540.54
2020-04-03,78.9761,82.1351,77.902,80.8083,76330.71
2020-04-07,82.1351,85.8502,81.2569,84.5676,79490.82
2020-04-08,82.7669,83.3987,79.4183,80.4292,57597.03
2020-04-09,80.4292,80.9979,78.8497,80.543,25370.45
2020-04-10,80.5114,81.4465,79.5258,80.1133,23250.83
2020-04-13,80.0502,80.2271,78.0915,80.1449,20950.42
2020-04-14,79.6079,81.4149,78.9824,81.1874,46608.32
2020-04-15,81.8192,81.8192,78.3759,78.9129,46449.99
2020-04-16,79.0203,80.5872,78.9129,79.1783,31494.88
2020-04-17,79.9238,81.099,79.2478,79.5763,36734.49
2020-04-20,80.1765,80.1765,78.5717,79.1403,36292.53
2020-04-21,78.5654,79.5953,78.5654,78.9698,23650.29
2020-04-22,79.1151,81.0168,78.6602,79.8732,44204.97
2020-04-23,79.9554,81.4907,78.9129,79.5131,50757.22
2020-04-24,79.6079,80.5556,78.477,80.2902,35804.43
2020-04-27,81.3643,82.1351,77.902,79.3868,64980.75
2020-04-28,79.3615,81.8319,78.8055,80.7451,61796.64
2020-04-29,80.7767,80.8652,78.3506,79.9175,35837.32
2020-04-30,79.6079,79.6079,76.9543,77.6682,55127.07
2020-05-06,76.7079,80.385,76.4804,80.3597,71059.43
2020-05-07,81.1618,82.7906,80.2901,82.3624,71140.0
